lon,lat,address,folio,rescomm,propuse,prob_modelA,prob_modelD
-80.32989907676019,25.742871533882376,8311SW 29TH ST,3040150040230,R,0220,0.22520967,0.6615284
-80.34073439761374,25.701535068087455,9040SUNSET DR,3040330010070,C,1421,0.5549253,0.6483467
-80.3995703476646,25.772507943286048,630NW 125TH AVE,3049010010322,R,0220,0.0,0.0
-80.31839990540321,25.8056278374383,,3030260260001,C,1737,0.60350484,0.763432
-80.25709926118206,25.87867493014175,11405NW 36TH AVE,3021330060090,C,1806,0.6483862,0.7220801
-80.29082032631854,25.726590619151793,5921SW 48TH ST,3040240140180,R,0220,0.072208926,0.4596403
-80.25354752646622,25.815814924010496,3520NW 46TH ST,3031210000850,C,1719,0.174611,0.73231566
-80.3376001252818,25.713133518782296,8835SW 60TH ST,3040280510720,R,0220,0.91122115,0.60341233
-80.32421874984263,25.740900562673623,3125SW 79TH CT,3040150000440,R,0220,0.9173936,0.6077386
-80.34035827659753,25.71587935675033,8965SW 56TH TER,3040280100250,R,0220,0.91118336,0.61723876
-80.28125020079598,25.700091987432334,7631SW 54TH AVE,3041310192030,R,0220,0.1780048,0.4862048
-80.28662099611437,25.716272810233683,5830SW 57TH AVE,3040250000100,C,0520,0.9441546,0.6988122
-80.35716837505078,25.750545099492346,9960SW 20TH ST,3040080200040,R,0220,0.0,0.0
-80.31239164579628,25.714042613305054,7300SW 60TH ST,3040260070240,R,0220,0.21329178,0.4707622
-80.3198847217532,25.797941611510893,7600NW 26TH ST,3030260060010,C,1737,0.9521323,0.76979226
-80.32538971369695,25.701853950919777,7255SW 82ND AVE,3040340000080,R,0220,0.090973005,0.5903509
-80.34416845841724,25.753760947515303,1700SW 92ND AVE,3040090070910,R,0220,0.91165215,0.61304677
-80.38895999729753,25.74210429441748,2900VILLAGE GREEN DR,3049130140530,R,0220,0.0,0.0
-80.34897403286057,25.810057533218288,9300NW 41ST ST,3530280010010,C,1822,0.9524275,0.80773145
-80.26771901870679,25.704527249089818,4550SUNSET DR,3041320010020,R,0220,0.17350975,0.47585842
-80.37333024470342,25.723819348078283,10961 SW 47TH ST,,R,0220,0.0,0.0
-80.35093754256083,25.72226081188648,4921SW 97TH AVE,3040210200470,R,0220,0.08731233,0.58711845
-80.35228939028244,25.702088615858294,9825SW 72ND ST,3040290011270,C,1421,0.12145328,0.6628815
-80.31263488981229,25.70122210142905,7333SW 74TH LN,3040350600100,R,0220,0.093185514,0.582321
-80.35012216154036,25.721149753739958,5061SW 96TH AVE,3040210200580,R,0220,0.08731233,0.58711845
-80.33404296204668,25.72391692404182,8540SW 48TH ST,3040220180340,R,0220,0.22723892,0.62728435
-80.27576205046718,25.700425001433402,5041SW 77TH ST,3041310050080,R,0220,0.16468807,0.4811599
-80.32963817366232,25.75448088649104,1634SW 82ND PL,3040100010380,R,0220,0.2464904,0.64924306
-80.3463925442286,25.733528061887956,9351SW 40TH ST,3040160000100,C,1734,0.5635746,0.6926585
-80.35259337658132,25.74940585964901,2131SW 97TH CT,3040080120180,R,0220,0.94370455,0.6961548
-80.33448646120078,25.735172063435094,3735SW 86TH AVE,3040150070220,R,0220,0.945024,0.7195663
-80.27826951881804,25.70152197942864,7524SW 52ND CT,3041310191710,R,0220,0.23167463,0.616401
-80.34004468191837,25.720419550655215,8941SW 52ND ST,3040210131380,R,0220,0.90971774,0.59521616
-80.33321837778615,25.749304040568532,8579CORAL WAY,3040100000020,C,1734,0.24190372,0.75011843
-80.36939747518679,25.7220284608648,10780SW 48TH TER,3040190100620,R,0220,0.0,0.0
-80.2936415303841,25.738577633383734,6029N WATERWAY DR,3040130180620,R,0220,0.91239,0.60866314
-80.28290852494645,25.70415020019916,7218SW 54TH CT,,R,0220,0.9482533,0.7398244
-80.3458004098276,25.71035401357571,9381SW 63RD ST,3040280180160,R,0220,0.2221035,0.59058654
-80.35967940252681,25.72617607210503,4420SW 102ND AVE,3040200081410,R,0220,0.0,0.0
-80.32420965799363,25.750797365929202,7910SW 21ST ST,3040100150230,R,0220,0.33067963,0.60125893
-80.33062440257173,25.765675390861574,8302SW 4TH ST,3040030061121,R,0220,0.1496838,0.69729364
-80.2488460478997,25.847838811976022,3130NW 81ST TER,3031090021930,R,0220,0.94429344,0.7133353
-80.31505187445785,25.712389246636945,6129SW 74TH CT,3040260350030,R,0220,0.2013435,0.5791454
-80.37640444309908,25.711846458794888,5901SW 113TH AVE,3040300021290,R,0220,0.0,0.0
-80.35654123240485,25.70723759911932,9995SW 66TH ST,3040290660030,R,0220,0.0,0.0
-80.33039970786803,25.752907268758626,1820SW 83RD AVE,3040100121100,R,0220,0.2464904,0.64924306
-80.3083332567686,25.703051349118343,7100SUNSET DR,3040350030010,R,0220,0.09419482,0.578263
-80.35506011531723,25.726921755944684,9875 SW 44TH ST,,R,0220,0.0,0.0
-80.18747635377592,25.874447619150953,510NE 108TH ST,3022310240042,R,0220,0.90884113,0.6045083
-80.3098171685151,25.700142296397562,7201SW 76TH ST,3040350160100,R,0220,0.11231919,0.60658175
-80.32460566052372,25.70124459260876,7350SW 80TH CT,3040340370050,R,0220,0.090973005,0.5903509
-80.35682108726026,25.745763742372485,2543SW 99TH PL,3040170940060,R,0220,0.0,0.0
-80.19820844023701,25.851334026511925,55NW 83RD ST,3031120740200,R,0220,0.158381,0.699779
-80.29105200003369,25.727534999945316,5930 SW 46TH ST,3040240140220,R,0220,0.072208926,0.4596403
-80.3463925442286,25.733528061887956,9351SW 40TH ST,3040160000100,C,1734,0.5635746,0.6926585
-80.34373189425715,25.756631647249225,1401SW 92ND AVE,3040090080670,R,0220,0.28295577,0.6089457
-80.3298927472307,25.716603353372747,8350SW 56TH ST,3040270050330,R,0220,0.90561634,0.5808899
-80.33247896010275,25.727652802012738,8450SW 44TH ST,3040220090210,R,0220,0.22723892,0.62728435
