id,category,type,lat,lon,name,city,tags,source
hifld/5/18,core_energy,plant,18.277339999693993,-66.65535899977294,Caonillas 1,"Utuado, PR","{""addr:city"": ""Utuado, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Caonillas 1"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/39,core_energy,plant,18.335697999926083,-66.66590000004311,Dos Bocas,"Utuado, PR","{""addr:city"": ""Utuado, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Dos Bocas"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/122,core_energy,plant,18.1665530000418,-66.51147599975849,Toro Negro 2,"Villalba, PR","{""addr:city"": ""Villalba, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Toro Negro 2"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/132,core_energy,plant,18.046775999669478,-65.88442199982194,Yabucoa Solar,"Yabucoa, PR","{""addr:city"": ""Yabucoa, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Yabucoa Solar"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/133,core_energy,plant,18.110492999619623,-66.8711159998308,Yauco 1,"Yauco, PR","{""addr:city"": ""Yauco, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Yauco 1"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/12/14215,emergency_shelter,fire_station,18.166108532007172,-66.72475666266934,PARQUE DE BOMBAS - ADJUNTAS,ADJUNTAS,"{""addr:city"": ""ADJUNTAS"", ""category_hint"": ""emergency_shelter"", ""layer_id"": 12, ""name"": ""PARQUE DE BOMBAS - ADJUNTAS"", ""source"": ""HIFLD"", ""type_hint"": ""fire_station""}",hifld
hifld/12/14284,emergency_shelter,fire_station,18.381067373987094,-67.18374608462369,PARQUE DE BOMBAS - AGUADA,AGUADA,"{""addr:city"": ""AGUADA"", ""category_hint"": ""emergency_shelter"", ""layer_id"": 12, ""name"": ""PARQUE DE BOMBAS - AGUADA"", ""source"": ""HIFLD"", ""type_hint"": ""fire_station""}",hifld
hifld/12/14285,emergency_shelter,fire_station,18.444496316378945,-67.149381374494,PARQUE DE BOMBAS - AGUADILLA,AGUADILLA,"{""addr:city"": ""AGUADILLA"", ""category_hint"": ""emergency_shelter"", ""layer_id"": 12, ""name"": ""PARQUE DE BOMBAS - AGUADILLA"", ""source"": ""HIFLD"", ""type_hint"": ""fire_station""}",hifld
hifld/12/14307,emergency_shelter,fire_station,18.25522354756646,-66.10142022197726,PARQUE DE BOMBAS - AGUAS BUENAS,AGUAS BUENAS,"{""addr:city"": ""AGUAS BUENAS"", ""category_hint"": ""emergency_shelter"", ""layer_id"": 12, ""name"": ""PARQUE DE BOMBAS - AGUAS BUENAS"", ""source"": ""HIFLD"", ""type_hint"": ""fire_station""}",hifld
hifld/12/14308,emergency_shelter,fire_station,18.138549517989645,-66.270356831693,PARQUE DE BOMBAS - AIBONITO,AIBONITO,"{""addr:city"": ""AIBONITO"", ""category_hint"": ""emergency_shelter"", ""layer_id"": 12, ""name"": ""PARQUE DE BOMBAS - AIBONITO"", ""source"": ""HIFLD"", ""type_hint"": ""fire_station""}",hifld
hifld/12/14309,emergency_shelter,fire_station,18.289382307786582,-67.14021453292588,PARQUE DE BOMBAS - ANASCO,ANASCO,"{""addr:city"": ""ANASCO"", ""category_hint"": ""emergency_shelter"", ""layer_id"": 12, ""name"": ""PARQUE DE BOMBAS - ANASCO"", ""source"": ""HIFLD"", ""type_hint"": ""fire_station""}",hifld
hifld/12/14310,emergency_shelter,fire_station,18.471175815985816,-66.72632226859736,PARQUE DE BOMBAS - ARECIBO,ARECIBO,"{""addr:city"": ""ARECIBO"", ""category_hint"": ""emergency_shelter"", ""layer_id"": 12, ""name"": ""PARQUE DE BOMBAS - ARECIBO"", ""source"": ""HIFLD"", ""type_hint"": ""fire_station""}",hifld
hifld/12/14311,emergency_shelter,fire_station,17.969025194761286,-66.06169771813313,PARQUE DE BOMBAS - ARROYO,ARROYO,"{""addr:city"": ""ARROYO"", ""category_hint"": ""emergency_shelter"", ""layer_id"": 12, ""name"": ""PARQUE DE BOMBAS - ARROYO"", ""source"": ""HIFLD"", ""type_hint"": ""fire_station""}",hifld
hifld/12/14312,emergency_shelter,fire_station,18.43309541144913,-66.5499761180223,PARQUE DE BOMBAS - BARCELONETA,BARCELONETA,"{""addr:city"": ""BARCELONETA"", ""category_hint"": ""emergency_shelter"", ""layer_id"": 12, ""name"": ""PARQUE DE BOMBAS - BARCELONETA"", ""source"": ""HIFLD"", ""type_hint"": ""fire_station""}",hifld
hifld/12/14316,emergency_shelter,fire_station,18.189393553346633,-66.3043411049178,PARQUE DE BOMBAS - BARRANQUITAS,BARRANQUITAS,"{""addr:city"": ""BARRANQUITAS"", ""category_hint"": ""emergency_shelter"", ""layer_id"": 12, ""name"": ""PARQUE DE BOMBAS - BARRANQUITAS"", ""source"": ""HIFLD"", ""type_hint"": ""fire_station""}",hifld
hifld/12/14256,emergency_shelter,fire_station,18.399758244724183,-66.15532158664286,PARQUE DE BOMBAS - BAYAMON,BAYAMON,"{""addr:city"": ""BAYAMON"", ""category_hint"": ""emergency_shelter"", ""layer_id"": 12, ""name"": ""PARQUE DE BOMBAS - BAYAMON"", ""source"": ""HIFLD"", ""type_hint"": ""fire_station""}",hifld
hifld/12/14317,emergency_shelter,fire_station,18.091301492629782,-67.14712448747179,PARQUE DE BOMBAS - CABO ROJO,CABO ROJO,"{""addr:city"": ""CABO ROJO"", ""category_hint"": ""emergency_shelter"", ""layer_id"": 12, ""name"": ""PARQUE DE BOMBAS - CABO ROJO"", ""source"": ""HIFLD"", ""type_hint"": ""fire_station""}",hifld
hifld/12/14318,emergency_shelter,fire_station,18.235136326410327,-66.02968743418518,PARQUE DE BOMBAS - CAGUAS,CAGUAS,"{""addr:city"": ""CAGUAS"", ""category_hint"": ""emergency_shelter"", ""layer_id"": 12, ""name"": ""PARQUE DE BOMBAS - CAGUAS"", ""source"": ""HIFLD"", ""type_hint"": ""fire_station""}",hifld
hifld/12/14264,emergency_shelter,fire_station,18.48348539387206,-66.8421556869265,PARQUE DE BOMBAS - CAMUY,CAMUY,"{""addr:city"": ""CAMUY"", ""category_hint"": ""emergency_shelter"", ""layer_id"": 12, ""name"": ""PARQUE DE BOMBAS - CAMUY"", ""source"": ""HIFLD"", ""type_hint"": ""fire_station""}",hifld
hifld/12/14319,emergency_shelter,fire_station,18.377341661241303,-65.8989055732132,PARQUE DE BOMBAS - CANOVANAS,CANOVANAS,"{""addr:city"": ""CANOVANAS"", ""category_hint"": ""emergency_shelter"", ""layer_id"": 12, ""name"": ""PARQUE DE BOMBAS - CANOVANAS"", ""source"": ""HIFLD"", ""type_hint"": ""fire_station""}",hifld
