id,category,type,lat,lon,name,city,tags,source
way/541853308,emergency_shelter,police,18.3667577,-66.5672275,Cuartel de la Policía de Florida - Agente Samuel Pellot Vendrell,Florida,"{""addr:city"": ""Florida"", ""amenity"": ""police"", ""name"": ""Cuartel de la Policía de Florida - Agente Samuel Pellot Vendrell"", ""operator"": ""Policía de Puerto Rico""}",osm_retry
way/1243652158,major_industry,industrial,18.3217254,-66.4765864,Altura Foods,Puerto Rico,"{""landuse"": ""industrial"", ""man_made"": ""works"", ""name"": ""Altura Foods""}",osm_retry
way/1243652159,major_industry,industrial,18.321659,-66.4771324,Metzgermeister,Puerto Rico,"{""landuse"": ""industrial"", ""man_made"": ""works"", ""name"": ""Metzgermeister""}",osm_retry
way/1243652149,core_energy,substation,18.3274509,-66.4737865,,Puerto Rico,"{""operator"": ""Puerto Rico Electric Power Authority"", ""power"": ""substation""}",osm_retry
way/531441714,healthcare,clinic,18.3336556,-66.4691957,Clínicas de Cuidado Médico Inc.,Ciales,"{""addr:city"": ""Ciales"", ""amenity"": ""clinic"", ""name"": ""Clínicas de Cuidado Médico Inc.""}",osm_retry
way/531443007,supply_chain,supermarket,18.3359099,-66.4682945,La Familia Cash & Carry,Ciales,"{""addr:city"": ""Ciales"", ""name"": ""La Familia Cash & Carry"", ""shop"": ""supermarket""}",osm_retry
way/1243652157,major_industry,industrial,18.3370116,-66.4670505,San Miguel Label,Puerto Rico,"{""landuse"": ""industrial"", ""man_made"": ""works"", ""name"": ""San Miguel Label""}",osm_retry
way/531405234,emergency_shelter,fire_station,18.3419533,-66.4683021,,Puerto Rico,"{""amenity"": ""fire_station""}",osm_retry
way/1073415147,water_infrastructure,wastewater_plant,18.3460261,-66.4684778,Planta de Tratamiento de Ciales,Ciales,"{""addr:city"": ""Ciales"", ""man_made"": ""wastewater_plant"", ""name"": ""Planta de Tratamiento de Ciales"", ""operator"": ""Autoridad de Acueductos y Alcantarillados""}",osm_retry
relation/7640042,healthcare,clinic,18.3647978,-66.5705745,Centro de Servicios Primarios de Salud Inc.,Puerto Rico,"{""amenity"": ""clinic"", ""name"": ""Centro de Servicios Primarios de Salud Inc.""}",osm_retry
node/2727482822,supply_chain,supermarket,18.4210942,-66.7476355,Famcoop,Puerto Rico,"{""name"": ""Famcoop"", ""shop"": ""supermarket""}",osm_retry
node/5252328760,communications,mast,18.4645694,-66.7489042,,Puerto Rico,"{""man_made"": ""mast"", ""tower:type"": ""communication""}",osm_retry
node/10555220306,communications,mast,18.4256141,-66.7178077,,Puerto Rico,"{""man_made"": ""mast"", ""tower:type"": ""communication""}",osm_retry
node/5251298113,communications,mast,18.4384128,-66.719192,,Puerto Rico,"{""man_made"": ""mast"", ""tower:type"": ""communication""}",osm_retry
node/1500220451,supply_chain,supermarket,18.4569755,-66.7208475,Pueblo,Puerto Rico,"{""name"": ""Pueblo"", ""operator"": ""Pueblo"", ""shop"": ""supermarket""}",osm_retry
node/9707945791,communications,tower,18.4539803,-66.7204502,,Puerto Rico,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",osm_retry
node/5147622774,healthcare,clinic,18.4656309,-66.7403682,CDT De Villa De Los Santos,Puerto Rico,"{""amenity"": ""clinic"", ""name"": ""CDT De Villa De Los Santos""}",osm_retry
node/5147622772,healthcare,clinic,18.4635415,-66.7236009,CDT Dr Jose A. Marrero Nieves,Puerto Rico,"{""amenity"": ""clinic"", ""name"": ""CDT Dr Jose A. Marrero Nieves""}",osm_retry
