fpr,tpr,threshold,auc,variant
0.0035026269702276708,0.2169915993025836,0.9886622569502809,0.7191682793637468,no_nlcd
0.0035026269702276708,0.21857663655095894,0.9886436599891896,0.7191682793637468,no_nlcd
0.004253189892419315,0.21857663655095894,0.8706942867806963,0.7191682793637468,no_nlcd
0.004253189892419315,0.21889364400063402,0.8474892338499742,0.7191682793637468,no_nlcd
0.004503377533149862,0.21889364400063402,0.8369095538790241,0.7191682793637468,no_nlcd
0.004503377533149862,0.21952765889998416,0.7528228470354177,0.7191682793637468,no_nlcd
0.005253940455341506,0.21952765889998416,0.7431251203639778,0.7191682793637468,no_nlcd
0.005253940455341506,0.22190521477254715,0.72656918374736,0.7191682793637468,no_nlcd
0.0055041280960720545,0.22190521477254715,0.7265574138114823,0.7191682793637468,no_nlcd
0.0055041280960720545,0.22206371849738468,0.7265490607101395,0.7191682793637468,no_nlcd
0.00600450337753315,0.22206371849738468,0.7265403108582976,0.7191682793637468,no_nlcd
0.00600450337753315,0.2225392296718973,0.7265322140285637,0.7191682793637468,no_nlcd
0.006504878658994246,0.2225392296718973,0.7265175853699893,0.7191682793637468,no_nlcd
0.006504878658994246,0.22269773339673482,0.7265116693878175,0.7191682793637468,no_nlcd
0.006755066299724793,0.22269773339673482,0.7265087881809836,0.7191682793637468,no_nlcd
0.006755066299724793,0.22285623712157235,0.7265082957346376,0.7191682793637468,no_nlcd
0.0070052539404553416,0.22285623712157235,0.7265078418599302,0.7191682793637468,no_nlcd
0.0070052539404553416,0.2230147408464099,0.7264968213460251,0.7191682793637468,no_nlcd
0.00725544158118589,0.2230147408464099,0.7264932316605657,0.7191682793637468,no_nlcd
0.00725544158118589,0.22317324457124743,0.726488629680614,0.7191682793637468,no_nlcd
0.007505629221916437,0.22317324457124743,0.7264882768346231,0.7191682793637468,no_nlcd
0.007505629221916437,0.22333174829608496,0.7264872196790388,0.7191682793637468,no_nlcd
0.0077558168626469855,0.22333174829608496,0.7264837108375642,0.7191682793637468,no_nlcd
0.0077558168626469855,0.2234902520209225,0.7264791576245649,0.7191682793637468,no_nlcd
0.00850637978483863,0.2234902520209225,0.7264725022552253,0.7191682793637468,no_nlcd
0.00850637978483863,0.22380725947059757,0.726464157594695,0.7191682793637468,no_nlcd
0.008756567425569177,0.22380725947059757,0.7264638842156219,0.7191682793637468,no_nlcd
0.008756567425569177,0.2244412743699477,0.7264433296209932,0.7191682793637468,no_nlcd
0.009256942707030274,0.2244412743699477,0.726442660195907,0.7191682793637468,no_nlcd
0.009256942707030274,0.2253922967189729,0.726432985479645,0.7191682793637468,no_nlcd
0.009757317988491368,0.2253922967189729,0.7264302988265742,0.7191682793637468,no_nlcd
0.009757317988491368,0.22602631161832304,0.7264248603949119,0.7191682793637468,no_nlcd
0.010507880910683012,0.22602631161832304,0.7264213914398259,0.7191682793637468,no_nlcd
0.010507880910683012,0.22618481534316057,0.7264194799649978,0.7191682793637468,no_nlcd
0.01075806855141356,0.22618481534316057,0.7264181172927908,0.7191682793637468,no_nlcd
0.01075806855141356,0.2263433190679981,0.7264177886752708,0.7191682793637468,no_nlcd
0.011508631473605204,0.2263433190679981,0.7264126498711267,0.7191682793637468,no_nlcd
0.011508631473605204,0.2268188302425107,0.7264104394037728,0.7191682793637468,no_nlcd
0.011758819114335751,0.2268188302425107,0.7264094304024806,0.7191682793637468,no_nlcd
0.011758819114335751,0.22697733396734823,0.7264090068025782,0.7191682793637468,no_nlcd
0.012259194395796848,0.22697733396734823,0.726407425676597,0.7191682793637468,no_nlcd
